Date,Open,High,Low,Close,Adj Close,Volume_M
4/16/2013,391.826324,396.513763,390.496338,791.197815,395.203674,3.4969
4/17/2013,391.906036,393.94339,387.597198,780.417419,389.818878,4.0891
4/18/2013,391.208649,391.4328,379.208618,763.812988,381.524963,6.6698
4/19/2013,383.14389,400.219879,381.69931,797.679993,398.441528,11.6498
4/22/2013,398.805176,400.478912,386.052979,797.919373,398.561096,5.7883
4/23/2013,399.004425,406.227356,398.685638,805.688049,402.441559,4.6016
4/24/2013,402.546173,407.472687,402.491364,811.222778,405.206177,3.6718
4/25/2013,406.600952,406.710541,402.307068,806.884705,403.039307,3.9992
4/26/2013,402.292114,402.361847,396.802673,799.225769,399.213654,4.9939
4/29/2013,400.125244,409.813904,400.000702,816.817444,408.000702,4.6188
4/30/2013,407.970825,412.274689,407.313293,822.312378,410.745422,4.6306
5/1/2013,410.092865,410.82016,406.655762,818.183716,408.683167,2.9208
5/2/2013,408.518768,415.716797,407.995728,827.338562,413.256012,4.0516
5/3/2013,416.917297,421.818909,416.439087,843.40448,421.280945,5.044
5/6/2013,422.546204,429.315826,422.546204,859.191162,429.166382,4.2985
5/7/2013,429.893646,430.322052,423.746704,854.882935,427.014435,3.9326
5/8/2013,426.899872,435.30835,424.862518,871.238098,435.183838,4.955
5/9/2013,433.794037,438.187561,432.493896,869.093933,434.112823,4.4176
5/10/2013,436.020691,438.625916,434.451569,877.820007,438.471497,3.8095
5/13/2013,437.804016,439.587311,435.059296,875.12738,437.126556,2.9077
5/14/2013,437.111603,442.685699,436.932281,884.671204,441.893677,3.1703
5/15/2013,446.078003,456.479004,445.340759,913.382385,456.234924,8.0016
5/16/2013,457.784119,458.272278,449.320831,901.395264,450.247375,6.4432
5/17/2013,453.310883,455.039398,448.578613,906.690735,452.892456,5.6048
5/20/2013,450.810242,458.581116,450.810242,906.04248,452.568665,4.5623
5/21/2013,452.314606,454.127808,447.129059,904.486755,451.791565,3.9807
5/22/2013,449.594818,452.957214,441.784088,886.984863,443.049347,5.1403
5/23/2013,436.862518,443.318329,435.368134,880.372986,439.746735,4.5672
5/24/2013,435.995789,437.769135,433.878723,870.928894,435.029388,4.6107
5/28/2013,440.100403,444.404266,438.556183,878.857117,438.989563,4.5319
5/29/2013,436.21994,437.355682,430.53125,865.932617,432.533752,4.0418
5/30/2013,433.335754,437.80899,431.587311,868.375916,433.754181,4.2572
5/31/2013,432.439117,436.862518,432.140228,868.834656,433.983337,3.9535
6/3/2013,434.869995,435.35318,425.913574,865.254517,432.195038,4.9699
6/4/2013,432.304626,433.669495,425.440338,856.747864,427.945953,3.7511
6/5/2013,429.644592,433.101624,426.96463,857.346191,428.244843,4.2293
6/6/2013,430.536255,431.547455,422.028137,862.272644,430.705597,5.1774
6/7/2013,433.584808,438.356934,431.044342,877.32135,438.222443,5.3692
6/10/2013,439.403015,443.836395,438.401764,887.782654,443.447845,4.693
6/11/2013,440.334503,441.843872,438.117828,877.401184,438.262299,3.5283
6/12/2013,441.076721,441.345734,433.201263,869.59259,434.361908,4.4261
6/13/2013,432.867493,438.187561,431.134003,874.598816,436.862518,4.1552
6/14/2013,438.406738,440.698151,435.432892,872.644226,435.8862,4.5067
6/17/2013,437.973358,443.054321,437.500153,883.823547,441.470276,4.3085
6/18/2013,442.665771,448.817719,442.516327,898.154114,448.628418,4.35
6/19/2013,449.002045,453.71936,447.074249,898.213989,448.658325,5.8536
6/20/2013,445.325806,448.817719,440.005737,882.317627,440.718079,6.7692
6/21/2013,442.511353,443.278473,434.904877,878.518066,438.82019,7.9943
6/24/2013,434.312103,436.523804,430.013214,867.408569,433.270996,6.0563
6/25/2013,436.992035,438.19754,430.640839,863.828369,431.482697,5.1255
6/26/2013,435.243591,437.360657,433.659546,871.257996,435.193787,3.6764
6/27/2013,437.759186,440.693176,436.688171,874.66864,436.8974,3.8673
6/28/2013,435.816467,439.273499,435.462769,877.959595,438.541229,4.7161
7/1/2013,441.569885,444.37439,440.847595,885.449036,442.282227,3.4624
